Time,TEG_Power,TEG_dJ
0,0.0006,0.000006
0.01,0.00073,0.000007
0.02,0.00085,0.000008
0.03,0.00097,0.00001
0.04,0.00109,0.000011
0.05,0.00121,0.000012
0.06,0.00133,0.000013
0.07,0.00145,0.000015
0.08,0.00157,0.000016
0.09,0.00169,0.000017
0.1,0.00181,0.000018
0.11,0.0022,0.000022
0.12,0.00258,0.000026
0.13,0.00297,0.00003
0.14,0.00335,0.000034
0.15,0.00374,0.000037
0.16,0.00412,0.000041
0.17,0.00451,0.000045
0.18,0.00489,0.000049
0.19,0.00528,0.000053
0.2,0.00566,0.000057
0.21,0.00605,0.00006
0.22,0.00643,0.000064
0.23,0.00682,0.000068
0.24,0.0072,0.000072
0.25,0.00759,0.000076
0.26,0.00909,0.000091
0.27,0.0106,0.000106
0.28,0.01212,0.000121
0.29,0.01363,0.000136
0.3,0.01514,0.000151
0.31,0.01665,0.000166
0.32,0.01816,0.000182
0.33,0.01967,0.000197
0.34,0.02118,0.000212
0.35,0.02269,0.000227
0.36,0.0242,0.000242
0.37,0.02571,0.000257
0.38,0.02722,0.000272
0.39,0.02873,0.000287
0.4,0.03024,0.000302
0.41,0.0312,0.000312
0.42,0.03216,0.000322
0.43,0.03311,0.000331
0.44,0.03407,0.000341
0.45,0.03503,0.00035
0.46,0.03598,0.00036
0.47,0.03694,0.000369
0.48,0.03789,0.000379
0.49,0.03885,0.000388
0.5,0.03981,0.000398
0.51,0.04076,0.000408
0.52,0.04172,0.000417
0.53,0.04267,0.000427
0.54,0.04363,0.000436
0.55,0.04459,0.000446
0.56,0.04567,0.000457
0.57,0.04676,0.000468
0.58,0.04785,0.000479
0.59,0.04894,0.000489
0.6,0.05003,0.0005
0.61,0.05112,0.000511
0.62,0.05221,0.000522
0.63,0.0533,0.000533
0.64,0.05439,0.000544
0.65,0.05547,0.000555
0.66,0.05656,0.000566
0.67,0.05765,0.000577
0.68,0.05874,0.000587
0.69,0.05983,0.000598
0.7,0.06092,0.000609
0.71,0.0621,0.000621
0.72,0.06329,0.000633
0.73,0.06447,0.000645
0.74,0.06565,0.000657
0.75,0.06684,0.000668
0.76,0.06802,0.00068
0.77,0.06921,0.000692
0.78,0.07039,0.000704
0.79,0.07157,0.000716
0.8,0.07276,0.000728
0.81,0.07394,0.000739
0.82,0.07513,0.000751
0.83,0.07631,0.000763
0.84,0.07749,0.000775
0.85,0.07868,0.000787
0.86,0.07989,0.000799
0.87,0.08111,0.000811
0.88,0.08232,0.000823
0.89,0.08354,0.000835
0.9,0.08475,0.000848
0.91,0.08597,0.00086
0.92,0.08718,0.000872
0.93,0.0884,0.000884
0.94,0.08961,0.000896
0.95,0.09083,0.000908
0.96,0.09205,0.00092
0.97,0.09326,0.000933
0.98,0.09448,0.000945
0.99,0.09569,0.000957
1,0.09691,0.000969
1.01,0.09809,0.000981
1.02,0.09927,0.000993
1.03,0.10046,0.001005
1.04,0.10164,0.001016
1.05,0.10283,0.001028
1.06,0.10401,0.00104
1.07,0.10519,0.001052
1.08,0.10638,0.001064
1.09,0.10756,0.001076
1.1,0.10875,0.001087
1.11,0.10993,0.001099
1.12,0.11111,0.001111
1.13,0.1123,0.001123
1.14,0.11348,0.001135
1.15,0.11466,0.001147
1.16,0.11577,0.001158
1.17,0.11687,0.001169
1.18,0.11797,0.00118
